Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
BOUY.PA,Industrials,Capital Goods,Bouygues SA,13.4608970420434,0.828412890502344,1.08464410999208,0.257294068827444,20.4023975657293,4.1637299126,2.23826,8.30875,0.09262421057132308,1.276633141782783,2.2659576425691568,42.1058585437,5.65237746983062,,53.687277024706475,,1.1210821337403616,1.0038558983608465,17.782413654504573
AMPF.MI,Health Care,Health Care Equipment & Services,Amplifon SpA,21.2138574842433,1.3837872679557,2.84413467483559,1.42450061828492,22.9092208883194,11.3921355315,0.21899,14.53615,0.0488444950017326,1.315487634377954,0.9162320319704668,20.5493625715,8.96895287338137,,26.71236071831187,,0.6927273959214985,0.9250624479600335,36.91831115176061
GETP.PA,Industrials,Transportation,Getlink SE,34.1970193556366,14.6526188264401,3.68475878045368,5.8867741935484,27.4885666981775,37.2986369269,0.61905,10.71491,-0.0031324618716035424,1.7772492159154967,0.6582904877024527,31.1293464989,15.9651742575123,,73.07632848942568,,1.0444815927401616,0.9836667952745779,26.18034999514337
INGA.AS,Financials,Banks,ING Groep NV,10.7819511384411,0.874112157677206,1.23528046697886,1.14482460833114,,135.3089377168,1.01913,11.78264,-0.018219911108900755,,,59.1375310891,,13.6,68.18602774791408,,1.2154815745564234,1.0838307284114665,25.3893740438749
BRBY.L,Consumer Discretionary,Consumer Durables & Apparel,Burberry Group PLC,57.0679447757887,0.542740826524594,4.05015966975621,1.66964142907761,21.3037257315873,2.3161316538,0.0,6.959,-0.0762346285542056,3.4256025140155417,2.1597231433124566,27.697943209,9.55661821970768,,31.322500375989435,,1.131905187596935,1.2771689529598462,30.00714907991485
DIAS.MI,Health Care,Health Care Equipment & Services,DiaSorin SpA,20.8282828282828,0.910749806108955,2.54396889991851,3.79649429273554,22.2614236535758,22.3586100198,1.0994,12.406,-0.030311184065091812,1.0511088554876433,0.42353609225718597,10.5889405653,12.6957218795584,,25.019876371892735,,0.8454396594408798,0.9437110441150391,37.21980999373419
SCMN.S,Communication Services,Telecommunication Services,Swisscom AG,21.8267556814914,,2.44769850384691,2.32408932173013,29.0701610073518,19.7172888728,25.71272,11.6943,0.10409099289386936,1.0871846812366508,2.30234712370689,37.6320797372,7.59104623526138,,63.78811698961814,,1.0911442953963835,1.03250417301691,15.775328968286463
BAB.L,Industrials,Capital Goods,Babcock International Group PLC,17.8483944000059,1.7641005952496,,1.00082637817979,31.9772831805767,7.3251505806,0.0869902,41.1044,0.043494139306754054,0.6039553783009799,0.5058857101248637,9.32194756,10.2733318239194,,39.66418898416088,,1.3137795103001528,1.0991231804782358,20.206763902149657
ISP.MI,Financials,Banks,Intesa Sanpaolo SpA,9.91324744954948,0.811196116125721,1.4987672111953,2.88651033424142,,48.9643344034,0.38283,15.30019,0.09953238570177914,,,63.0949034132,,13.3,62.50702181998843,,1.1908224430915917,1.0612036278483032,25.702055251037155
CABK.MC,Financials,Banks,CaixaBank SA,11.1485174155121,1.90211058968756,1.59493769369416,3.11274649605388,,74.5573870574,0.47065,14.77469,0.0963392577974902,,,,,12.2,77.41530357127937,,1.3149932223082883,1.088584910001976,34.97718977717813
