Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
BOUY.PA,Industrials,Capital Goods,Bouygues SA,0.8716648881264281,0.5297826209360328,0.029718627434858303,1.0749929493328605,0.45537612219466,-1.296560425736529,-0.2098071488513472,-0.38731822038641295,0.5735024741252757,0.7327782289593087,-3.2264726856318298,-2.196296290032516,-1.197264042650234,,-0.08812841039334039,,0.12211718411959334,-0.6045563982077526,-0.5175886121337051
BAB.L,Industrials,Capital Goods,Babcock International Group PLC,0.4823336845446883,0.026185762511820712,,0.6950407864871367,-0.05564645049279252,-0.7652403214186773,-0.8391489446303854,0.42679398259413437,-0.10850591283128112,-0.6293044125559818,0.0958109855372139,0.4242854905613754,-0.4689290032614855,,-1.1710174011966168,,1.2902377351783858,0.5402121452991621,-0.2854810739465003
AHT.L,Industrials,Capital Goods,Ashtead Group PLC,0.5049676092830603,-0.18353103266272994,-0.09448682492797839,-0.14670201821534748,0.46677212788764677,2.7105792091740843,-0.5533273357165817,-0.06293513224533037,-0.07618547577488594,0.5615871780306816,-1.014515102976832,-1.3133942770022204,-0.8904347622398465,,0.8931226476230029,,-0.22619785377824211,0.8259582624106808,0.28065853081380876
RHMG.DE,Industrials,Capital Goods,Rheinmetall AG,-2.690285052294662,0.5703303335821562,-0.42560315759007816,-2.1939089084821863,-2.4639469081934564,0.4390489509979303,2.4479318171727846,0.10473018079512691,2.8212249028200755,-0.49526555300794,-0.6785027238417617,0.8200848045830645,2.4999646200416814,,-1.5869425771279089,,1.22701728013331,-0.053835643892780914,-0.33685271830521873
ADDTb.ST,Industrials,Capital Goods,Addtech AB,-1.666146454839866,-0.7447698363788188,-0.3218462909322281,-0.7969656513447589,-0.11941333121695834,0.1033074861963465,0.15276645063516273,0.09801782901414553,0.3456592025197267,0.7399496255816055,0.8824590632689312,0.6945736722554531,1.4661164291954099,,0.1610564116498406,,-0.19109284902497622,-0.22994124786053277,-0.7534645783586043
SIEGn.DE,Industrials,Capital Goods,Siemens AG,0.3517078381007865,-0.3196589863583582,-0.05100422761167661,0.01579854624145415,0.3341378788387121,0.16771210059885416,0.7088932338847354,-0.1796344816576421,-0.2649581032879416,0.18162705235972681,0.5912023266442914,-0.41660433833032845,0.4080264711756354,,0.2668857608548665,,0.07646958700294025,-0.07443583164081836,-0.5862667985281791
PRY.MI,Industrials,Capital Goods,Prysmian SpA,0.2556673347446575,0.6940567304798695,-0.05937030639010479,0.6176021401829785,0.15545063256607666,-0.5709593549257597,-0.5958223260031849,-0.12950632081281063,0.17598237471737427,0.04291364117689699,-0.4159370662633407,-0.3900777733719519,-0.24584640595967158,,1.6920654028376039,,0.9080160990677397,1.754615657298774,2.1283649179936
HOTG.DE,Industrials,Capital Goods,Hochtief AG,0.22503335301320612,-0.13741235971231225,-0.40095443267522524,0.9709437106324887,0.36717322486585774,-1.1072385409489491,0.8648895757574351,0.7110660523244808,0.8680730869679955,0.32347232660912223,-0.26308902424818686,-0.06496574877262541,-0.7094357674671852,,2.1048847550131957,,1.9739735571943284,1.0806227726444344,1.9369474584728965
LIGHT.AS,Industrials,Capital Goods,Signify NV,1.3646333877294559,-0.03253947158215262,0.03758697772313175,0.9674301222679644,0.9347020813966496,-0.5107618166118283,-0.40282497647903553,-0.3517209110153804,-1.7838791052114478,0.7291379749589335,0.41207946820897734,-0.7928161158831145,-1.1903603287882552,,0.06030492976993488,,-0.2518264162945975,-0.10918676136863437,-0.6606299380885605
KSP.I,Industrials,Capital Goods,Kingspan Group PLC,0.5024979680624132,0.3044191079040778,-0.03574587891373231,0.4923567304903018,0.12134066509533369,-0.3090569846979753,-0.6967764510066542,-0.20698483278652377,-0.20134639637507654,-0.33427026495101786,0.22046365859491557,0.1965410813259511,0.02717134313671024,,-1.2064790102676362,,-0.985737893096062,-0.9724542804091371,-0.9159927452868674
